titles,authors,nums,peoples
見雪深,Funny2333/沒譜文化出版社/2020-1/NTD350,8.4,(24人评价)
明日星程,金刚圈/田文文创/2020-5/NTD760,7.4,(35人评价)
无双·中,梦溪石/中国致公出版社/2019-11/38,8.4,(51人评价)
喝下媚藥的哥哥盯上了我的XX!? 1,えい吉/東立/2017-2-8/NT130,,(22人评价)
麒麟·戰爭之王·海外護航,桔子樹/宇河文化/2013-2-1/NTD360,9.4,(1012人评价)
小白杨（4）,水千丞/威向/2015-3-25/NT240,7.4,(438人评价)
療傷遊戲 上,日ノ原巡/東立/2019-4-3/NTD195,8.4,(192人评价)
六爻,Priest/北京时代华文书局/2018-11/55.00元,8.4,(402人评价)
定海浮生录 壹,非天夜翔/长江出版社/2019-11/39.80元,8.1,(127人评价)
ショタ+カレシ-はじめての弟-,アンソロジー/ふゅ～じょんぷろだくと/2018-3-24/JPY999,7.8,(少于10人评价)
黑貓男友的寵愛方法 1,左京亜也/长鸿出版社/2015-2-14/140元,8.9,(145人评价)
戀愛暴君 3,高永ひなこ/台湾东贩/2007/NT.120,7.4,(1198人评价)
识汝不识丁,酥油饼/世界知识出版社/2016-10-1/79.00元,7.2,(645人评价)
さよなら恋人、またきて友だち,yoha/ふゅーじょんぷろだくと/2015-10-24/JPY729,8.2,(169人评价)
歡迎來到噩夢遊戲 I 上,薄暮冰輪、千二百/平心工作室/2017-12-11/NTD330,7.8,(220人评价)
太子 1,风弄、王一/威向文化/2009/03/19/NT190,8.0,(1478人评价)
歌舞伎町ご指名♂挿入ります!,三川ケイヤ/ブライト出版/2019-2-22/JPY750,6.8,(22人评价)
不疯魔不成活,微笑的猫/长江文艺出版社/2017-7/42.8,8.7,(899人评价)
鳴鳥不飛(04),ヨネダコウ/藤崎スグル/尖端/2017-2-3/NT150,9.6,(405人评价)
走狗,卡比丘/威向/2018-10-31/NTD300,7.0,(310人评价)
男僕先生和鬼畜漫畫家,天城れの/菁点/2011-2/NT120,6.2,(28人评价)
满天风雨下西楼,衣冠禽兽,8.6,(433人评价)
クロネコ彼氏の甘え方,左京亜也/新書館/2013-9-30/JPY630,8.0,(198人评价)
阎王,千江月/普天出版社/2012-10-29/NTD280,7.3,(583人评价)
被囚禁的男人,风之羽/龙马/2006-06-02,5.9,(55人评价)
麒麟之兵天血地,桔子树/宇河文化/2011-9-10/280台币,9.5,(1943人评价)
辦公桌上的美味上司,天一、Leila/威向/2017-11-8/NTD240,7.6,(少于10人评价)
雙子男友雙倍的愛,世尾せりな/尖端/2019-7-16/NTD140,8.2,(29人评价)
謀殺始於夏日,它似蜜/沒譜/2019/NTD964,8.1,(45人评价)
積極之戀,はらだ/東販/2017-4-15/NT140,8.7,(183人评价)
圣传,CLAMP/角川書店/1990-2-10/4.20X10,8.5,(10532人评价)
相见欢 下卷,非天夜翔/长江出版社/2017-7/38.00元,8.3,(644人评价)
归途,蓝淋/威向/2005-10-05,9.1,(2825人评价)
PRIDE 上,田亀源五郎/古川書房/2004-10/JPY1234,8.8,(277人评价)
魔道祖師 二,墨香銅臭、千二百(繪)/平心出版/2019-10-3/TWD330,7.7,(115人评价)
金牌助理(上),非天夜翔、貓樹/平心/2014-12-10/NTD300,7.6,(929人评价)
イケショタになら抱かれたい,よし、雨季野、ogr、一文字はや子、鴈方ひのの、まぼろ志、笑平、百合原明、sawaco、椋太郎、野崎つばた/ふゅーじょんぷろだくと/2018-1-24,,(26人评价)
残次品：完结篇,Priest/江苏凤凰文艺出版社/2019-1/85.00元,8.8,(591人评价)
王子病的春天·下,非天夜翔、绘者：腐狸/凌雲工作室/2013-3/NT$370,8.6,(658人评价)
日落大道,卡比丘/沒譜文化出版社/2020-6/NTD340,8.4,(44人评价)
桃色性感カルテ,柚摩サトル/ジュネット/2012-3-31/JPY680,6.6,(28人评价)
テンカウント(1),宝井理人/新書館/2014-3-29/JPY630,8.0,(574人评价)
极乐飨宴,西村しゅうこ/典亚/2006/02/25,5.8,(27人评价)
純情的甜食情人,北上れん/尚禾/2009,7.2,(54人评价)
第三支玫瑰,葭菲文创/2019-10/NTD350.00,8.0,(68人评价)
殺戮秀 2,FOX^^、生铁落、狐狸/威向/2019-1-31/NTD360,8.9,(152人评价)
想起我叫什么了吗,漫漫何其多,7.0,(442人评价)
先生はそんなこと教えてない!,練馬zim/大都社/2015-1-13/JPY720,7.0,(20人评价)
奥様はα,夏下冬/ふゅ～じょんぷろだくと/2018-4-24/JPY729,8.1,(153人评价)
稔醫生的手,スカーレット．ベリ子/江荷偲/東立出版社有限公司/2016-4-17,7.4,(138人评价)
少年の境界 1,akabeko/リブレ/2017-7-10/JPY690,7.7,(197人评价)
终极往事,香龙血树/待定/2007/20,9.0,(1074人评价)
失控系列之花心纯属爱,七颜颜/龙马文化/2011-1-26/NT190,6.7,(37人评价)
错觉 (上),蓝淋、藍淋/鲜欢文化/2009/3/10/台幣：190元,8.4,(1865人评价)
