titles,authors,nums,peoples
鹤唳华亭,雪满梁园/北岳文艺出版社/2008-12/25.80元,8.3,(4266人评价)
瑶华,晚晴风景/中国友谊出版公司/2006-10/18.0,6.7,(1875人评价)
万花筒：南烛,西子绪/江苏凤凰文艺出版社/38.8元,7.4,(3774人评价)
凤囚凰（上中）,天衣有风/河南文艺出版社/2009-3/49.80,7.9,(19286人评价)
冷月如霜,匪我思存/新世界出版社/2007-10/22.00元,6.7,(7123人评价)
七根凶简·大结局,尾鱼/中国友谊出版公司/2018-4/39.80元,8.0,(851人评价)
非職業半仙,拉棉花糖的兔子/平心出版/NTD1320,6.5,(78人评价)
鬼差,十七、夜摩/藍襪子出版社/2011-4-19/54.00,7.8,(814人评价)
乖宠,丁墨/江苏文艺出版社/2012-12/25.00元,7.1,(985人评价)
我要逆风去,未再/江苏文艺出版社/2011-2/25.00元,7.3,(868人评价)
长相思,桐华/湖南文艺出版社/2013-2/35.00元,8.1,(11523人评价)
上赶着不是买卖,金大,7.7,(87人评价)
被时光掩埋的秘密,桐华/朝华出版社/2009-1/28.00,7.2,(16229人评价)
良言写意,木浮生/国际文化出版公司/2013-1/28.00元,7.2,(7131人评价)
改尽江山旧,青垚/万卷出版公司/2010年8月/29.80元,7.7,(2475人评价)
不离,西子绪/百花洲文艺出版社/2019-10/45.00元,6.5,(149人评价)
废后将军,一度君华/百花洲文艺出版社/2017-6-15/85.00元（全三册）,6.9,(1000人评价)
AWM绝地求生 下册,漫漫何其多著/北京时代华文书局/2019-4/39.8元,7.6,(635人评价)
破云2,淮上/江苏凤凰文艺出版社/2020-6/49.80元,7.9,(1795人评价)
江山如画（全二册）,四叶铃兰/北方妇女儿童出版社/2010-11/49.80元,7.4,(1559人评价)
红颜乱,朵朵舞/河南文艺出版社/2006-12-01/25.00元,7.3,(7217人评价)
阿麦从军,鲜橙/江苏文艺出版社/2011-7/49.80元,8.4,(2138人评价)
小楼传奇,纳兰容若公子、老庄墨韩/百花洲文艺出版社/2008-04/23.8,8.2,(2516人评价)
饕餮西施（上）,今朝醉/清歌一片/藍海文化/2012-4-11/230NT$,7.2,(152人评价)
破云,淮上,7.3,(少于10人评价)
侯门新妇-嫤语书年,海青拿天鹅/太白文艺出版社/2013-10/50.00元,8.0,(896人评价)
那村那人那傻瓜 下,福寶/藍襪子出版社/2012-5-8/NT$220,6.7,(444人评价)
江南恨,梅子黄时雨/华文出版社/2011-1/25.80元,8.4,(1597人评价)
西出玉门 下,尾鱼/敦煌文艺出版社/2018-11/45.00元,7.9,(1847人评价)
你如北京美丽,玖月晞/江苏凤凰文艺出版社/2019-4/75,8.3,(674人评价)
鹤唳华亭,雪满梁园/百花洲文艺出版社/2014-9-1/49.80元,8.4,(4149人评价)
十二年故人戏,墨宝非宝/江苏凤凰文艺出版社/2019-3/79.80元,8.1,(3668人评价)
湖中公子,小狐濡尾/江苏凤凰文艺出版社/2018-3-1/39.8,6.9,(408人评价)
千山记,石头与水/浙江文艺出版社/2018-3-1/CNY39.80,7.8,(256人评价)
魔道祖師 一,墨香铜臭/平心工作室/2016-12-8/NT330元,7.9,(25742人评价)
步步惊心,桐华/海洋出版社/2006-4/20.00元,8.2,(12127人评价)
爱情无非就长这个样子,梦里闲人/现代出版社/2014-7-1/CNY56.00,7.9,(276人评价)
王女韶華 卷一,溪畔茶、容境/知翎文化/2019-3-11/NTD260,7.6,(75人评价)
黑白,朝小诚/江苏文艺出版社/2012-7/29.80元,7.0,(2376人评价)
如意蛋,大风刮过/新世界出版社/2012-7/29.00元,7.9,(2740人评价)
销魂殿,十四郎/华文出版社/2009-8/28.00元,7.3,(3938人评价)
公子倾城（上下）,维和粽子/江苏文艺出版社/2013-1/49.80元,6.2,(476人评价)
资本剑客,Priest/光明日报出版社/2012-8/29.80元,7.3,(702人评价)
默读,Priest/百花洲文艺出版社/2018-1/45.00,8.4,(31103人评价)
兰因·璧月（上、下）,倾泠月/2009-6/45.00元,7.7,(5637人评价)
帝王业（上下）,寐语者/黑龙江人民出版社/2007-6/22.00元,7.9,(11866人评价)
将嫁,绕梁三日/光明日报出版社/2012-1/29.80元,8.0,(2764人评价)
我曾在时光里听过你,耳东兔子/青岛出版社/2017-7/49.80元,6.6,(708人评价)
梦回大清,金子/朝华出版社/2007-2/22.00元,7.5,(8489人评价)
我不成仙三流星赶月,时镜/吉林摄影社/2017-5/28.8,8.6,(95人评价)
你和我的倾城时光,丁墨/百花洲文艺出版社/2014-11/45.00元,6.7,(5014人评价)
奔月（上）,蜀客/浙江人民美术出版社/2016-8/32.00,7.7,(94人评价)
奔月（中）,蜀客/浙江人民美术出版社/2016-8/32.00,7.8,(56人评价)
五蠹,水合/江苏文艺出版社/2009-11/25.00元,7.4,(1672人评价)
衣香鬓影,寐语者/花山文艺出版社/2007-11/25.00元,8.2,(4532人评价)
碧甃沉,匪我思存/新世界出版社/2008-5/26.80元,8.2,(10837人评价)
忍冬,Twentine/青岛出版社/2016-3/38.00元,7.4,(5718人评价)
如果蜗牛有爱情,丁墨/百花洲文艺出版社/2014-4/45.00,7.0,(10113人评价)
花间提壶方大厨,耳雅/沈阳出版社/2010-12/29.80元,7.2,(2171人评价)
兰陵缭乱,Vivibear/朝华出版社/2008-2/22.00元,7.4,(8336人评价)
人不可貌相,月下蝶影/江苏凤凰文艺出版社/2017-11/56.80元,6.8,(101人评价)
半是蜜糖半是伤,棋子/江苏文艺出版社/2013-5/25.00元,6.7,(985人评价)
拜相为后,一度君华/漓江出版社/2013-4/25.00元,6.8,(347人评价)
左先生，向右转,明月珰/长江文艺出版社/2016-5-1/32,6.5,(514人评价)
金银错(上下),尤四姐/海豚/2017-06-01/59.8,6.8,(268人评价)
奸相萌女 卷3,姚十六/夢田小筑/2013-9-9/NTD250,8.1,(38人评价)
王子病的春天·下,非天夜翔、绘者：腐狸/凌雲工作室/2013-3/NT$370,8.6,(660人评价)
两只前夫一台戏,电线/国际文化出版公司/2010-6/26.80元,7.2,(4043人评价)
深爱,迷迭兰/新世界出版社/2008-11/25.00元,6.9,(1942人评价)
翻译官,纪媛媛/人民文学出版社/2006-10/22.00元,7.4,(22373人评价)
月沉吟（上下）,卿妃/朝华出版社/2012-5/49.80元,7.1,(1063人评价)
一度君华,一度君华/陕西人民出版社/2012-9/19.80元,7.5,(469人评价)
后宫·甄嬛传Ⅲ,流潋紫/花山文艺出版社/2007-04/22.0,8.1,(9357人评价)
落落清欢,南东北西/河南文艺出版社/2008-09/25.00元,7.3,(7325人评价)
原来爱很殇,蓝白色/国际文化出版公司/2012-7/28.00元,5.7,(226人评价)
午门囧事Ⅰ,影照/花山文艺出版社/2008-9/26.80元,7.7,(4866人评价)
勿忘,因爱/朝华出版社/2007-10/23.8,7.8,(1255人评价)
脫骨香 上,Fresh果果著、千里魚繪/藍襪子出版社/2011-1-18/NT$210,6.8,(943人评价)
皇瓜,明月珰/珠海出版社/2009-12/26.00元,6.3,(830人评价)
兰陵缭乱Ⅱ,Vivibear/朝华出版社/2008-06/22.0,7.5,(3880人评价)
人生若只初相见,梅子黄时雨/华文出版社/2009-11/24.80元,7.2,(11439人评价)
时光与他，恰是正好,蒋牧童、魅丽文化/江苏凤凰文艺出版社/2020-4/69.8元,7.0,(23人评价)
曾许诺,桐华/湖南文艺出版社/2011-1/26.00元,8.0,(14627人评价)
不疯魔，不成活,微笑的猫/甘肃人民美术出版社/2014-4-1/28.00元,8.3,(1127人评价)
笑倾三国（Ⅰ、Ⅱ）,梦三生/华文出版社/2008-01/46.00,7.4,(3470人评价)
华胥引（全二册）,唐七公子/现代出版社/2011-1/39.80元,8.4,(68088人评价)
贵族,天籁纸鸢/珠海出版社/2009年12月/26.00元,7.9,(891人评价)
天王,天籁纸鸢/甘肃人民美术出版社/2011-12-8/29.80元,7.9,(1056人评价)
他逆光而来,左瞳/江苏凤凰文艺出版社/2018-7/39.80,7.9,(199人评价)
奸相萌女 卷7,姚十六/紫宸社/2013-10/NTD250,7.8,(23人评价)
十里红莲艳酒3,天籁纸鸢/旺福/2011-3-15/190元,8.1,(608人评价)
原来圣保罗不悲伤,峦/2014-12-1,7.3,(49人评价)
绾青丝Ⅳ（下）,波波/花山文艺出版社/2008-1/23.80,7.7,(10578人评价)
奸相萌女 卷9  (完),姚十六/紫宸社/2013-10-21/NTD250,7.8,(25人评价)
青龍圖騰 第一卷,淮上、張壯壯(繪)、符殊(繪)/葭霏文創出版社/2017-12/NTD330,6.9,(297人评价)
绾青丝Ⅳ（上）,波波/花山文艺出版社/2008-1/23.80,7.7,(10699人评价)
如果你是菟丝花2,袖侧/九州出版社/2017-12/34.80,6.3,(113人评价)
无爱承欢,蓝白色/吉林出版集团/2010-10/25.00元,6.6,(1711人评价)
绿红妆之军营穿越,金子/百花文艺出版社/2009-4/45.00元,7.7,(2674人评价)
远古伊甸,清歌一片/江苏文艺出版社/2011-10-1/29.80元,7.4,(637人评价)
坑你三生三世,茂林修竹/新世界出版社/2013-1/29.80元,7.7,(992人评价)
相思长梦河,简暗/上海人民出版社/2010-11/20.00元,8.1,(1480人评价)
流水迢迢（全三册）,箫楼/浙江文艺出版社/2019-3/148.00元,7.6,(少于10人评价)
只为爱,长着翅膀的大灰狼/文化艺术出版社/2010-10/22.80元,7.8,(2941人评价)
親愛的阿基米德（中）,玖月晞/聯合文學/2014-11-10/NTD250,7.3,(345人评价)
饕餮西施（下）,今朝醉/清歌一片/藍海文化/2012-4-11/230NT$,6.4,(106人评价)
诱郎,明月珰/江苏文艺出版社/2010-8/25.00元,7.6,(401人评价)
醉玲珑（上卷）,十四夜/朝华出版社/2007-10/29.80元,7.2,(11933人评价)
浮图塔,尤四姐/江苏文艺出版社/2015-5-13/50,7.0,(1182人评价)
花颜,匪我思存/新世界出版社/2010-12/26.00元,7.8,(1941人评价)
纖纖惡女(上),月夜/說頻文化/2013-8-14/NTD250,7.9,(36人评价)
簪中录3,侧侧轻寒/江苏凤凰文艺出版社/2015-4/32.80,7.6,(3872人评价)
穿越与反穿越,桃之舟/北岳文艺出版社/2008-5/26.80元,7.3,(7033人评价)
清空万里2,星野樱/远方出版社/2007-08/22.00元,7.4,(742人评价)
一笔多情,Twentine/江苏凤凰文艺出版社/2017-6/32.00元,6.5,(348人评价)
海棠依舊：知否？知否？應是綠肥紅瘦 卷四,關心則亂、呀呀/封面繪圖/三采/2012-6-1/CNY56.00,8.4,(1368人评价)
灯火阑珊处,青衫落拓/沈阳出版社/2010-7/29.80元,7.2,(1415人评价)
如失如来,皎皎/2009-1/29.80元,6.9,(1353人评价)
我的一个朋友,孔恰/留守番工作室/2013-5/78.00元,8.7,(947人评价)
永夜（上下）,桩桩/朝华出版社/2009-1/49.80元,7.7,(3452人评价)
琉璃美人煞·卷一·人如青葱,十四十四/木馬文化事業有限公司/2009-4/NT$199,8.0,(1025人评价)
绾青丝Ⅱ,波波/花山文艺出版社/2007-3/22.00元,7.7,(14083人评价)
兰陵缭乱3,Vivibear/朝华出版社/2008-07/25.0,7.5,(3789人评价)
苏旷传奇之重整河山待后生,飘灯/江苏文艺出版社/2009-7/25.00元,8.7,(671人评价)
除了我你还能爱谁,四叶铃兰/朝华出版社/2008-03/29.80元,7.0,(3069人评价)
蘇記棺材鋪,青垚/三采文化出版事業/2010-10-14/NT$240,7.9,(633人评价)
大漠情殇,简暗/内蒙古人民出版社/2007-12-1/20.00,7.5,(525人评价)
青瑶夫人,静江/江苏文艺出版社/2010-7/29.80元,6.5,(475人评价)
狼影啸啸,我愿乘风/河北大学出版社/2008-1/29.80元,6.7,(738人评价)
花近江國,孔恰/留守番/2018-8-13/NTD1650,8.9,(802人评价)
雍容天下,秋若耶/民主与建设出版社/2016-12/56.80元,7.5,(67人评价)
边缘少年,简暗/上海人民出版社/2011-1-1/22.00元,8.3,(1126人评价)
喪病大學 四,顏涼雨、PSD/平心工作室/2018-2-22/NTD330,8.5,(142人评价)
奶牛座的魔履情缘,天籁纸鸢/百花洲文艺出版社/2008-01-01/25.00元,7.9,(1150人评价)
歌尽桃花,靡宝/朝华出版社/2008-06/25.00元,7.6,(7085人评价)
绯闻女王倾城记,沈沧眉/江苏文艺出版社/2009-10-1/25.00元,6.6,(802人评价)
越姬（上）,林家成/天津人民出版社/2012-7/29.80元,7.3,(630人评价)
奸相萌女 卷5,姚十六/夢田小筑/2013-9-23/NTD250,8.3,(38人评价)
丹尼海格,缪娟/江苏文艺出版社/2009.10/29.00元,7.5,(6030人评价)
沉香如屑《上》,蘇寞/藍襪子出版社/喵喵屋出版社/2011-9-20/NT$220,8.2,(2374人评价)
你若盛开,静悠/江苏文艺出版社/2013-2/28.00元,6.8,(29人评价)
奸相萌女卷6,姚十六/紫宸社/2013-9-30/NTD250,7.8,(23人评价)
奸相萌女 卷8,姚十六/紫宸社/2013-10-14/NTD250,7.8,(22人评价)
重生之渣夫狠妻1,萌吧啦/藍襪子/2013-3-19/NTD220,7.3,(79人评价)
重生之渣夫狠妻2,萌吧啦/藍襪子/2013-3-19/NTD220,7.2,(32人评价)
我要这盛世美颜有何用,拉棉花糖的兔子/花山文艺出版社/2020-7/42.00元,6.6,(少于10人评价)
指间欢颜,晴空蓝兮/内蒙古文化出版社/2007-11-1/18.00,6.9,(501人评价)
皇后出墙记（全二册）,桩桩/朝华出版社/2008-6/39.80元,7.2,(1558人评价)
女子无殇(2册 ),米无良/内蒙古人民出版社/2008年5月/52元,6.6,(321人评价)
皇糖(中),則慕/說頻文化/2015-7-8/NTD250,6.5,(10人评价)
寻爱上弦月（上下）,花清晨/国际文化出版公司/2008-05/49.8,6.6,(882人评价)
難得情深 下,淮上/葭霏文創/2018-8/NTD300,7.1,(68人评价)
万花筒千里,西子绪/江苏凤凰文艺出版社/2019-9/39.8,7.5,(420人评价)
華胥引(上下),唐七公子/高寶國際/2011-10,7.2,(196人评价)
月满霜河（全两册）,箫楼/沈阳出版社/2010-10/49.80元,7.5,(993人评价)
迷神记,施定柔/朝华出版社/2006-01/20.0,7.7,(1171人评价)
识汝不识丁,酥油饼/世界知识出版社/2016-10-1/79.00元,7.4,(648人评价)
我和“大神”有个约会,一度君华/当代世界出版社/2012-11/25.00元,7.2,(167人评价)
宫廷记事,月下蝶影/时代华文书局/2014-8/25.00元,6.3,(105人评价)
异世流放3,易人北/世界知识出版社/2016-3-1/29.8元,8.1,(35人评价)
龙阙.2,石头与水/江苏凤凰文艺出版社/2019-1/116,8.1,(26人评价)
嫡长孙,闻檀/江苏凤凰文艺出版社/2015-8-1/34.8,5.4,(185人评价)
路鸟,狂言千笑/新世界/2010-4/28.00元,7.8,(1596人评价)
